GR_2,PHS_1,SH_1,FLA_1,FLA_2,FLF_2,GLA3_1,GLA4_1,GLA6_1,GLA7_1,GLA9_1,GLA10_1,GLA1_2,GLA2_2,GLA3_2,GLA5_2,GLA6_2,GLA7_2,GLA8_2,GLA9_2,GLA10_2,FLS_2,GS39_1,GS55_1,GS65_1,GS39_2,GS55_2,GS65_2,JGH_1,JGH_2,JGH_N,GY_1,GY_2,LOD_1,HET_1,HET_2,HFLB_1,HFLB_2,FLED_1,FLED_2,EL_1,EL_2,ETA_1,FLL_1,FLL_2,FLW_1,FLW_2,BIS_1,TS_1,EW_1,GA_1,GA_2,GL_1,GL_2,GW_1,GW_2,TGW_1,TGW_2,SW_1,GPC_1,GPC_2,LGLAU_1,GLAU_1,GLAU_2,AWN_1,PIG_1,PIG_2,SPIG_2,YR_1,YR_2,YR_N
0.713609595,0.0,0,5.507130238,4.975,0.6412757572319129,1.09695532,2.746697998,7.683761329,36.49285451,42.8127841,47.46521975,1.824,11.81,9.07,22.11,24.1,28.94,44.22,49.75,62.92,3.198,206.9866929,216.9608477,226.0410576,210.2,221.1,230.7,3.180814653,5.074,5.0,6.671471653,6.885,0.509162787,60.95675406,63.37,43.14630709,47.51,8.836683876,10.2,9.66332425,9.492,6.0,137.0494506,174.7,16.72570308,15.45,0.628159781,19.88971382,3.126840336,17.46550743,16.06,6.436297289,6.305,3.656649369,3.309,45.94619734,42.92,94.24565939,13.5291011,10.26058729,5.399296187,4.444861913,4.228,0,1.324962661,0.0,0.0,8.666666666666666,5.573,0.4771212547196624
,2.0,0,4.287691358,4.837,0.766115283221414,1.643676857,4.570223403,11.74719757,33.04376712,38.65774411,47.45075074,1.415,20.89,14.48,28.06,20.63,29.23,43.27,48.52,57.91,5.232,212.6947435,221.8989325,225.9027402,214.9,227.9,232.5,3.343257759,4.181,6.0,7.800201006,7.156,-0.183317444,65.62085087,70.32,48.82545306,51.82,9.465098916,14.1,7.540425834,8.602,5.0,107.7489605,194.0,16.67983052,18.57,1.118203275,20.12231062,3.231603228,17.61698926,16.34,6.326353295,6.086,3.730105031,3.496,43.18498845,45.78,97.94421463,12.44530972,9.355822532,4.987509052,3.59944042,4.609,0,0.434691005,0.0,0.0,10.22222222222222,5.465,0.4771212547196624
,0.0,0,3.711087967,3.939,0.6855626111582298,0.818323204,2.058597595,7.928897608,25.8938098,35.73407725,41.26193694,1.736,8.55,8.21,16.45,19.19,25.1,41.56,46.05,56.57,4.47,211.9473764,221.9018128,225.8739655,215.7,227.8,232.5,3.705933439,4.961,7.0,6.50112327,6.595,0.924890233,59.78883796,60.09,41.8051358,42.84,9.536795743,11.68,8.205071882,9.111,6.0,122.0907394,165.2,15.37800402,15.03,0.379933993,18.28579217,2.950304483,18.00516089,15.84,6.754757366,6.428,3.559778888,3.269,42.99980383,41.87,92.30595626,12.48049236,9.104129909,3.335670453,4.879258598,3.022,0,1.034434963,0.0,0.0,7.111111111111099,3.764,0.3010299956639812
1.064600169,0.0,0,6.761273654,5.944,0.610766594773271,1.333045498,4.587722681,12.0250647,43.77387052,45.88909066,48.07990643,2.514,15.59,9.98,21.01,23.41,28.84,48.89,53.62,61.89,3.117,209.2120437,218.0442702,225.9947392,211.3,223.5,231.0,3.619203651,5.58,7.0,6.676058252,6.593,2.625793908,75.15564708,77.86,51.5918646,55.24,13.71440976,16.87,9.779593421,10.153,7.0,112.0090265,173.1,13.48901705,13.59,2.509456377,21.85814882,2.628656746,16.21720837,14.41,6.148643871,5.792,3.528454158,3.299,41.29085796,39.0,97.31676268,12.8147141,9.204579161,4.388807172,4.772498254,3.584,0,-0.105479588,0.0,2.5,16.0,4.484,0.3010299956639812
0.838474455,1.0,0,5.843286958,5.416,0.8070612399172391,1.462086553,3.797367234,13.30668501,38.6388282,41.97714444,44.93182608,2.511,21.03,13.87,26.03,29.05,32.23,51.94,58.39,71.74,4.303,215.5356553,223.3056852,227.5016682,214.9,227.8,233.9,4.221298955,5.87,8.0,6.666584531,5.817,1.172418226,77.87309277,81.76,56.99638107,59.4,11.59674791,17.62,9.017124083,9.407,4.0,108.8159541,172.5,15.43902047,16.36,0.885678354,23.54595026,3.44043764,17.60774057,14.68,6.244492192,5.789,3.761301678,3.351,44.01489432,40.69,97.23562112,13.051254,10.76760057,3.633231906,3.537534238,6.114,0,-0.238008908,0.0,0.0,0.3333333333334305,3.705,0.0
0.567041234,0.0,0,4.59516775,5.483,0.7296506683359202,1.489161019,4.378975775,11.02726445,31.80817924,38.47677116,41.74029352,1.633,16.83,11.85,25.79,24.45,26.0,39.48,44.41,57.3,3.657,212.638781,222.8037945,227.4418112,215.0,228.0,232.5,3.429629333,4.515,7.0,6.692229909,5.512,2.739199096,76.27585765,87.0,56.25245295,63.72,11.0299067,17.0,9.087343304,10.249,4.0,116.3951447,183.7,15.71578751,16.24,1.005309865,23.97955637,3.511931221,17.61765695,15.52,6.415296387,6.07,3.64849229,3.313,43.56038779,43.71,91.77246573,13.06906066,10.04296787,4.666950871,3.935828958,2.524,0,0.49590421,0.0,0.0,2.4444444444444366,4.477,0.0
1.062523089,1.0,0,6.707014281,4.647,0.6581068355063929,0.850005358,2.222844682,6.085503592,34.58748342,44.11093283,45.54651603,1.458,21.59,12.53,28.39,25.43,30.35,46.21,47.55,59.5,4.762,214.3556352,222.9931784,226.0331529,217.0,228.0,232.5,4.324643235,5.527,6.0,7.576613375,6.989,0.192871336,49.21553269,45.34,37.18024046,35.22,3.495136261,3.55,8.267858177,7.912,3.0,103.8461357,182.5,13.90545077,15.79,0.736607994,19.79423075,2.488005513,15.67337402,14.43,6.21815762,6.095,3.324728921,3.139,35.46295442,35.33,95.55647417,12.56921217,8.819038101,6.440513773,3.375086605,3.867,0,2.249261784,0.0,0.0,2.0153333333333334e-13,1.622,0.3010299956639812
1.047353691,2.0,0,4.509897584,4.223,0.6346787521786823,1.734841846,3.584984781,9.718991842,38.88127172,40.87575873,38.96050394,2.822,17.95,11.55,23.91,26.78,32.08,51.97,56.12,67.01,3.994,215.5009794,221.9143385,227.356174,216.7,227.9,234.0,3.749762406,4.9,7.0,6.809879897,6.653,-0.288805697,66.96952001,75.73,52.23863542,56.2,6.184366493,14.0,8.474218214,9.57,5.0,126.5390481,176.2,15.49072192,16.12,0.896240345,21.60229971,3.015679496,17.78929636,16.0,6.650345372,6.364,3.571410134,3.325,42.40111951,41.31,96.4064148,13.14246513,8.674612563,4.614330616,3.053557854,5.814,0,0.120011071,0.0,0.0,1.9993333333333333e-13,1.232,0.3010299956639812
0.871440776,3.0,0,4.952191582,4.947,0.7204900684500515,0.720952983,2.584602516,6.784243731,31.91425727,42.01701416,41.46082893,1.36,14.13,9.06,21.48,23.43,28.2,43.8,49.58,63.13,5.305,214.502575,222.2007402,227.4395924,215.9,227.9,232.5,3.868401999,4.225,6.0,6.912161005,7.188,0.47588127,62.10937745,60.69,44.05799925,41.4,8.773968026,12.57,9.624591194,10.238,3.0,143.1988921,201.2,14.24532294,15.53,0.261405818,24.74112643,3.138598002,15.60693121,14.88,6.261202436,6.036,3.339340406,3.251,35.07851005,38.63,92.80672865,12.33034123,9.019408799,4.860613681,4.751263149,5.672,0,0.009129188,0.0,0.0,2.022e-13,2.324,0.0
0.73266038,2.0,0,4.210027586,4.561,0.5609820555862354,1.105706676,2.812739019,3.507907197,25.09617899,33.78317843,37.97645135,2.531,16.44,12.59,20.68,18.46,26.08,42.66,47.01,54.12,6.568,215.4461699,225.7570972,229.412194,219.0,231.1,234.0,4.300206071,5.352,5.0,7.351629026,7.357,0.075292453,64.15120416,68.54,48.76795702,50.87,6.948069961,13.9,7.94287388,8.318,2.0,136.4399801,148.3,16.97250499,17.49,0.660004222,19.7476462,3.336987502,18.7480773,17.04,6.523966254,6.286,3.802524319,3.539,46.77557215,48.49,94.40814961,12.70135463,8.706845948,6.431115496,5.132563746,7.325,0,-0.080665459,0.0,2.0,0.3333333333334317,3.919,0.4771212547196624
